,Season,Week,Team,Day,Date,Unnamed: 3,Unnamed: 4,OT,Unnamed: 6,Opp,Tm,Opp.1,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Y/A,NY/A,Cmp%,Rate,Att.1,Yds.2,Y/A.1,TD.1,FGM,FGA,XPM,XPA,Pnt,Yds.3,3DConv,3DAtt,4DConv,4DAtt,ToP,Week.1,Day.1,Date.1,Unnamed: 3.1,Unnamed: 4.1,OT.1,Unnamed: 6.1,Opp.2,Tm.1,Opp.1.1,Cmp.1,Att.2,Yds.4,TD.2,Int.1,Sk.1,Yds.1.1,Y/A.2,NY/A.1,Cmp%.1,Rate.1,Att.1.1,Yds.2.1,Y/A.1.1,TD.1.1,FGM.1,FGA.1,XPM.1,XPA.1,Pnt.1,Yds.3.1,3DConv.1,3DAtt.1,4DConv.1,4DAtt.1,ToP.1
5599,2020,17,TAM,Sun,January 3,boxscore,W,,,Atlanta Falcons,44,27,26,41,391,4,1,1,8,9.7,9.3,63.4,117.0,22,94,4.3,1,3,3,5,5,0,0,6,11,0,0,26:48,17,Sun,January 3,boxscore,W,,,Atlanta Falcons,44,27,29,44,258,2,0,1,7,6.0,5.7,65.9,96.6,26,127,4.9,1,2,2,3,3,1,43,7,14,2,3,33:12
6125,2021,1,TAM,Thu,September 9,boxscore,W,,,Dallas Cowboys,31,29,32,50,379,4,2,0,0,7.6,7.6,64.0,97.0,14,52,3.7,0,1,1,4,4,4,197,5,11,0,0,25:33,1,Thu,September 9,boxscore,W,,,Dallas Cowboys,31,29,42,58,391,3,1,1,12,6.9,6.6,72.4,100.6,18,60,3.3,0,3,5,2,3,3,147,9,17,0,0,34:27
6126,2021,2,TAM,Sun,September 19,boxscore,W,,,Atlanta Falcons,48,25,24,36,259,5,0,3,17,7.7,6.6,66.7,127.2,21,82,3.9,0,0,0,6,7,4,189,4,12,1,2,26:29,2,Sun,September 19,boxscore,W,,,Atlanta Falcons,48,25,35,48,293,2,3,1,7,6.3,6.0,72.9,76.1,20,55,2.8,1,1,1,2,2,4,157,6,15,1,4,33:31
6127,2021,3,TAM,Sun,September 26,boxscore,L,,@,Los Angeles Rams,24,34,41,55,411,1,0,3,21,7.9,7.1,74.5,101.4,13,35,2.7,2,1,2,3,3,4,145,6,13,1,2,29:50,3,Sun,September 26,boxscore,L,,@,Los Angeles Rams,24,34,27,38,331,4,0,1,12,9.0,8.5,71.1,132.7,24,76,3.2,0,2,2,4,4,3,119,10,15,0,0,30:10
6128,2021,4,TAM,Sun,October 3,boxscore,W,,@,New England Patriots,19,17,22,43,261,0,0,1,8,6.3,5.9,51.2,70.0,30,120,4.0,1,4,5,1,1,4,170,9,19,0,0,33:55,4,Sun,October 3,boxscore,W,,@,New England Patriots,19,17,33,42,295,2,1,4,25,7.6,6.4,78.6,101.9,8,-1,-0.1,0,1,2,2,2,4,188,2,9,0,0,26:05
6129,2021,5,TAM,Sun,October 10,boxscore,W,,,Miami Dolphins,45,17,33,44,437,5,0,2,15,10.3,9.5,75.0,143.8,25,121,4.8,1,1,2,6,6,1,41,8,11,0,0,37:07,5,Sun,October 10,boxscore,W,,,Miami Dolphins,45,17,27,39,262,2,1,3,13,7.1,6.2,69.2,94.2,9,39,4.3,0,1,1,2,2,4,154,2,7,0,0,22:53
6130,2021,6,TAM,Thu,October 14,boxscore,W,,@,Philadelphia Eagles,28,22,34,42,297,2,1,0,0,7.1,7.1,81.0,102.1,31,102,3.3,2,0,0,4,4,3,127,7,13,0,1,39:56,6,Thu,October 14,boxscore,W,,@,Philadelphia Eagles,28,22,12,26,113,1,1,2,2,4.4,4.0,46.2,55.4,19,100,5.3,2,0,1,2,2,5,220,3,10,1,1,20:04
6131,2021,7,TAM,Sun,October 24,boxscore,W,,,Chicago Bears,38,3,22,39,226,4,0,0,0,5.8,5.8,56.4,107.4,31,182,5.9,1,1,2,5,5,4,161,4,12,1,2,31:05,7,Sun,October 24,boxscore,W,,,Chicago Bears,38,3,22,32,168,0,3,4,16,5.8,4.7,68.8,42.2,29,143,4.9,0,1,1,0,0,4,160,2,11,0,1,28:55
6132,2021,8,TAM,Sun,October 31,boxscore,L,,@,New Orleans Saints,27,36,28,41,350,4,2,3,25,9.1,8.0,68.3,106.8,14,71,5.1,0,0,0,3,3,3,126,8,13,0,1,26:44,8,Sun,October 31,boxscore,L,,@,New Orleans Saints,27,36,22,39,209,2,0,1,6,5.5,5.2,56.4,88.5,32,152,4.8,1,3,3,3,4,3,158,5,14,2,3,33:16
6133,2021,10,TAM,Sun,November 14,boxscore,L,,@,Washington Football Team,19,29,23,34,220,2,2,0,0,6.5,6.5,67.6,80.5,13,53,4.1,0,2,2,1,2,3,124,4,10,2,2,20:52,10,Sun,November 14,boxscore,L,,@,Washington Football Team,19,29,26,32,226,1,0,5,30,8.0,6.1,81.3,106.5,34,94,2.8,2,3,3,2,2,2,89,11,19,2,2,39:08
