,Season,Week,Team,Day,Date,Unnamed: 3,Unnamed: 4,OT,Unnamed: 6,Opp,Tm,Opp.1,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Y/A,NY/A,Cmp%,Rate,Att.1,Yds.2,Y/A.1,TD.1,FGM,FGA,XPM,XPA,Pnt,Yds.3,3DConv,3DAtt,4DConv,4DAtt,ToP,Week.1,Day.1,Date.1,Unnamed: 3.1,Unnamed: 4.1,OT.1,Unnamed: 6.1,Opp.2,Tm.1,Opp.1.1,Cmp.1,Att.2,Yds.4,TD.2,Int.1,Sk.1,Yds.1.1,Y/A.2,NY/A.1,Cmp%.1,Rate.1,Att.1.1,Yds.2.1,Y/A.1.1,TD.1.1,FGM.1,FGA.1,XPM.1,XPA.1,Pnt.1,Yds.3.1,3DConv.1,3DAtt.1,4DConv.1,4DAtt.1,ToP.1
4637,2019,15,ATL,Sun,December 15,boxscore,W,,@,San Francisco 49ers,29,22,25,39,201,2,0,2,9,5.4,4.9,64.1,94.1,20,89,4.5,1,1,1,2,2,5,252,7,13,0,0,29:12,15,Sun,December 15,boxscore,W,,@,San Francisco 49ers,29,22,22,34,193,1,0,1,7,5.9,5.5,64.7,89.5,27,120,4.4,1,3,3,1,2,4,184,4,12,1,1,30:48
4638,2019,16,ATL,Sun,December 22,boxscore,W,,,Jacksonville Jaguars,24,12,32,45,383,1,2,1,1,8.5,8.3,71.1,85.7,27,135,5.0,2,1,2,3,3,3,121,7,13,0,0,33:07,16,Sun,December 22,boxscore,W,,,Jacksonville Jaguars,24,12,14,32,173,1,0,3,15,5.9,4.9,43.8,71.5,24,115,4.8,0,2,2,0,0,5,254,3,14,3,4,26:53
4639,2019,17,ATL,Sun,December 29,boxscore,W,OT,@,Tampa Bay Buccaneers,28,22,30,51,286,1,0,6,27,6.1,5.0,58.8,81.0,30,87,2.9,0,5,5,1,1,2,70,7,18,1,3,36:22,17,Sun,December 29,boxscore,W,OT,@,Tampa Bay Buccaneers,28,22,13,24,193,2,2,1,8,8.4,7.7,54.2,73.8,21,136,6.5,0,0,3,2,2,3,120,1,8,1,1,23:45
5136,2020,1,ATL,Sun,September 13,boxscore,L,,,Seattle Seahawks,25,38,37,54,434,2,1,2,16,8.3,7.8,68.5,97.3,21,72,3.4,1,2,2,1,2,2,100,7,14,0,4,29:24,1,Sun,September 13,boxscore,L,,,Seattle Seahawks,25,38,31,35,299,4,0,3,23,9.2,7.9,88.6,140.4,20,84,4.2,1,1,1,5,5,4,191,3,9,1,1,30:36
5137,2020,2,ATL,Sun,September 20,boxscore,L,,@,Dallas Cowboys,39,40,24,37,267,4,0,1,6,7.4,7.0,64.9,122.2,34,113,3.3,0,4,4,3,3,4,158,8,17,2,2,33:48,2,Sun,September 20,boxscore,L,,@,Dallas Cowboys,39,40,34,49,445,1,0,1,5,9.2,8.9,69.4,104.5,31,125,4.0,4,2,2,4,4,1,43,7,13,0,2,26:12
5138,2020,3,ATL,Sun,September 27,boxscore,L,,,Chicago Bears,26,30,19,38,227,1,1,2,11,6.3,5.7,50.0,66.4,25,144,5.8,2,2,3,2,3,6,233,4,13,0,0,25:10,3,Sun,September 27,boxscore,L,,,Chicago Bears,26,30,29,51,307,4,2,2,9,6.2,5.8,56.9,84.4,25,130,5.2,0,1,2,3,3,4,215,4,15,1,2,34:50
5139,2020,4,ATL,Mon,October 5,boxscore,L,,@,Green Bay Packers,16,30,28,39,249,0,0,4,36,7.3,5.8,71.8,88.5,25,78,3.1,2,1,1,1,2,3,122,3,12,2,4,30:22,4,Mon,October 5,boxscore,L,,@,Green Bay Packers,16,30,27,33,315,4,0,1,12,9.9,9.3,81.8,146.0,26,88,3.4,0,1,1,3,4,2,81,6,11,1,2,29:38
5140,2020,5,ATL,Sun,October 11,boxscore,L,,,Carolina Panthers,16,23,21,37,207,0,1,2,19,6.1,5.3,56.8,61.4,24,166,6.9,1,3,3,1,1,3,139,6,13,1,1,26:55,5,Sun,October 11,boxscore,L,,,Carolina Panthers,16,23,27,36,313,2,0,0,0,8.7,8.7,75.0,119.3,27,124,4.6,0,3,3,2,2,3,134,6,12,0,0,33:05
5141,2020,6,ATL,Sun,October 18,boxscore,W,,@,Minnesota Vikings,40,23,30,40,363,4,0,2,8,9.3,8.6,75.0,135.7,37,99,2.7,0,4,4,4,4,2,68,9,17,3,3,40:07,6,Sun,October 18,boxscore,W,,@,Minnesota Vikings,40,23,24,36,333,3,3,1,10,9.5,9.0,66.7,89.2,13,32,2.5,0,0,0,1,1,4,198,3,10,1,2,19:53
5142,2020,7,ATL,Sun,October 25,boxscore,L,,,Detroit Lions,22,23,31,42,322,1,0,2,16,8.0,7.3,73.8,103.5,26,66,2.5,2,0,0,2,2,4,180,7,14,1,2,30:45,7,Sun,October 25,boxscore,L,,,Detroit Lions,22,23,25,36,322,1,0,2,18,9.4,8.5,69.4,106.5,21,64,3.0,1,3,4,2,2,3,177,3,10,0,1,29:15
5143,2020,8,ATL,Thu,October 29,boxscore,W,,@,Carolina Panthers,25,17,21,30,270,0,1,2,11,9.4,8.4,70.0,84.0,36,131,3.6,2,4,4,1,2,1,39,3,9,0,0,36:30,8,Thu,October 29,boxscore,W,,@,Carolina Panthers,25,17,16,27,157,1,1,3,22,6.6,5.2,59.3,72.6,22,147,6.7,1,1,1,2,2,2,78,2,10,1,3,23:30
5144,2020,9,ATL,Sun,November 8,boxscore,W,,,Denver Broncos,34,27,25,35,271,3,1,2,13,8.1,7.3,71.4,110.5,32,92,2.9,1,2,2,4,4,5,183,6,13,0,0,33:27,9,Sun,November 8,boxscore,W,,,Denver Broncos,34,27,25,48,302,2,1,1,11,6.5,6.2,52.1,76.9,22,103,4.7,1,2,2,3,3,5,225,7,16,0,2,26:33
5145,2020,11,ATL,Sun,November 22,boxscore,L,,@,New Orleans Saints,9,24,19,37,196,0,2,8,36,6.3,4.4,51.4,44.4,14,52,3.7,0,3,3,0,0,5,250,2,14,2,3,26:19,11,Sun,November 22,boxscore,L,,@,New Orleans Saints,9,24,18,23,210,0,0,3,23,10.1,8.1,78.3,104.7,36,166,4.6,3,1,2,3,3,4,159,4,11,1,1,33:41
5146,2020,12,ATL,Sun,November 29,boxscore,W,,,Las Vegas Raiders,43,6,22,39,179,2,1,1,6,4.7,4.5,56.4,74.6,32,125,3.9,1,5,5,4,4,3,99,9,19,1,1,34:58,12,Sun,November 29,boxscore,W,,,Las Vegas Raiders,43,6,25,39,203,0,1,5,37,6.2,4.6,64.1,66.5,14,40,2.9,0,2,2,0,0,5,243,3,12,1,2,25:02
5147,2020,13,ATL,Sun,December 6,boxscore,L,,,New Orleans Saints,16,21,19,39,262,1,0,3,11,7.0,6.2,48.7,79.2,21,70,3.3,0,3,3,1,1,5,218,5,13,0,1,23:06,13,Sun,December 6,boxscore,L,,,New Orleans Saints,16,21,27,37,217,2,0,2,15,6.3,5.6,73.0,105.3,36,207,5.8,1,0,1,3,3,5,199,8,17,2,3,36:54
5148,2020,14,ATL,Sun,December 13,boxscore,L,,@,Los Angeles Chargers,17,20,22,33,249,2,3,2,14,8.0,7.1,66.7,71.4,20,70,3.5,0,1,1,2,2,2,85,9,12,0,0,25:45,14,Sun,December 13,boxscore,L,,@,Los Angeles Chargers,17,20,36,44,240,2,1,1,3,5.5,5.3,81.8,95.1,26,105,4.0,0,2,2,2,2,3,151,9,15,0,0,34:15
5149,2020,15,ATL,Sun,December 20,boxscore,L,,,Tampa Bay Buccaneers,27,31,34,49,332,3,0,3,24,7.3,6.4,69.4,108.5,13,37,2.8,0,2,2,3,3,5,242,6,15,1,2,28:11,15,Sun,December 20,boxscore,L,,,Tampa Bay Buccaneers,27,31,31,45,365,2,0,3,25,8.7,7.6,68.9,108.1,18,51,2.8,2,1,1,4,4,5,209,4,10,0,0,31:49
5150,2020,16,ATL,Sun,December 27,boxscore,L,,@,Kansas City Chiefs,14,17,27,35,277,2,0,4,23,8.6,7.1,77.1,118.4,23,90,3.9,0,0,1,2,2,5,222,6,12,0,0,33:12,16,Sun,December 27,boxscore,L,,@,Kansas City Chiefs,14,17,24,45,278,2,2,0,0,6.2,6.2,53.3,68.6,21,117,5.6,0,1,1,2,2,4,165,5,13,1,2,26:48
5151,2020,17,ATL,Sun,January 3,boxscore,L,,@,Tampa Bay Buccaneers,27,44,29,44,258,2,0,1,7,6.0,5.7,65.9,96.6,26,127,4.9,1,2,2,3,3,1,43,7,14,2,3,33:12,17,Sun,January 3,boxscore,L,,@,Tampa Bay Buccaneers,27,44,26,41,391,4,1,1,8,9.7,9.3,63.4,117.0,22,94,4.3,1,3,3,5,5,0,0,6,11,0,0,26:48
5649,2021,1,ATL,Sun,September 12,boxscore,L,,,Philadelphia Eagles,6,32,21,35,136,0,0,3,28,4.7,3.6,60.0,68.3,26,124,4.8,0,2,2,0,0,6,279,3,14,1,3,28:58,1,Sun,September 12,boxscore,L,,,Philadelphia Eagles,6,32,27,35,261,3,0,1,3,7.5,7.3,77.1,126.0,31,173,5.6,1,1,1,3,3,4,189,6,13,0,2,31:02
5650,2021,2,ATL,Sun,September 19,boxscore,L,,@,Tampa Bay Buccaneers,25,48,35,48,293,2,3,1,7,6.3,6.0,72.9,76.1,20,55,2.8,1,1,1,2,2,4,157,6,15,1,4,33:31,2,Sun,September 19,boxscore,L,,@,Tampa Bay Buccaneers,25,48,24,36,259,5,0,3,17,7.7,6.6,66.7,127.2,21,82,3.9,0,0,0,6,7,4,189,4,12,1,2,26:29
5651,2021,3,ATL,Sun,September 26,boxscore,W,,@,New York Giants,17,14,27,36,227,2,0,3,16,6.8,5.8,75.0,109.4,20,69,3.5,0,1,1,2,2,6,284,5,13,0,0,28:09,3,Sun,September 26,boxscore,W,,@,New York Giants,17,14,24,35,246,0,0,2,20,7.6,6.6,68.6,88.5,27,100,3.7,1,2,2,0,0,5,229,7,14,0,0,31:51
5652,2021,4,ATL,Sun,October 3,boxscore,L,,,Washington Football Team,30,34,25,42,275,4,0,1,8,6.7,6.4,59.5,110.7,28,99,3.5,0,1,1,3,3,4,167,10,16,0,0,30:43,4,Sun,October 3,boxscore,L,,,Washington Football Team,30,34,23,33,290,3,0,1,0,8.8,8.5,69.7,127.1,28,122,4.4,1,1,1,1,3,2,84,4,9,1,2,29:17
5653,2021,5,ATL,Sun,October 10,boxscore,W,,,New York Jets,27,20,33,46,342,2,0,0,0,7.4,7.4,71.7,107.3,29,108,3.7,1,2,2,3,3,2,56,9,14,1,1,35:54,5,Sun,October 10,boxscore,W,,,New York Jets,27,20,19,32,166,0,1,2,26,6.0,4.9,59.4,60.2,18,64,3.6,2,2,2,0,1,4,205,5,10,0,0,24:06
5654,2021,7,ATL,Sun,October 24,boxscore,W,,@,Miami Dolphins,30,28,25,40,325,2,1,1,11,8.4,7.9,62.5,94.3,22,72,3.3,1,3,3,3,3,3,126,6,13,0,0,25:22,7,Sun,October 24,boxscore,W,,@,Miami Dolphins,30,28,32,40,281,4,2,1,10,7.3,6.9,80.0,108.4,29,132,4.6,0,0,1,4,4,3,154,7,11,0,0,34:38
5655,2021,8,ATL,Sun,October 31,boxscore,L,,,Carolina Panthers,13,19,20,27,131,1,2,3,15,5.4,4.4,74.1,65.5,20,82,4.1,0,2,3,1,1,4,190,3,10,1,1,24:37,8,Sun,October 31,boxscore,L,,,Carolina Panthers,13,19,13,25,129,0,0,0,0,5.2,5.2,52.0,66.9,47,203,4.3,1,4,4,1,1,4,175,10,17,0,0,35:23
5656,2021,9,ATL,Sun,November 7,boxscore,W,,@,New Orleans Saints,27,25,23,30,332,2,0,2,11,11.4,10.4,76.7,134.3,25,34,1.4,1,2,2,3,3,5,224,5,13,0,1,27:39,9,Sun,November 7,boxscore,W,,@,New Orleans Saints,27,25,27,43,267,2,0,1,15,6.6,6.1,62.8,95.8,25,109,4.4,1,2,2,1,1,3,122,3,10,0,1,32:21
5657,2021,10,ATL,Sun,November 14,boxscore,L,,@,Dallas Cowboys,3,43,10,27,111,0,3,2,20,4.9,3.8,37.0,10.5,24,103,4.3,0,1,1,0,0,5,231,1,11,0,2,22:19,10,Sun,November 14,boxscore,L,,@,Dallas Cowboys,3,43,28,35,317,2,0,0,0,9.1,9.1,80.0,123.5,37,114,3.1,3,0,0,5,5,4,190,6,14,3,3,37:41
5658,2021,11,ATL,Thu,November 18,boxscore,L,,,New England Patriots,0,25,20,32,125,0,4,4,33,4.9,3.5,62.5,30.9,16,40,2.5,0,0,1,0,0,5,269,2,11,1,2,27:17,11,Thu,November 18,boxscore,L,,,New England Patriots,0,25,22,26,174,1,1,3,33,8.0,6.0,84.6,91.3,30,134,4.5,0,4,4,1,2,4,193,4,12,0,0,32:43
5659,2021,12,ATL,Sun,November 28,boxscore,W,,@,Jacksonville Jaguars,21,14,19,29,183,1,1,1,7,6.6,6.1,65.5,80.1,29,149,5.1,2,0,0,3,3,5,224,5,12,0,0,30:52,12,Sun,November 28,boxscore,W,,@,Jacksonville Jaguars,21,14,23,42,216,1,1,1,12,5.4,5.0,54.8,67.2,28,141,5.0,0,2,2,0,0,3,130,9,16,0,2,29:08
5660,2021,13,ATL,Sun,December 5,boxscore,L,,,Tampa Bay Buccaneers,17,30,30,41,259,0,0,5,38,7.2,5.6,73.2,89.4,23,121,5.3,1,1,1,2,2,5,215,9,17,0,0,32:46,13,Sun,December 5,boxscore,L,,,Tampa Bay Buccaneers,17,30,38,51,368,4,1,0,0,7.2,7.2,74.5,112.2,17,57,3.4,0,1,1,3,4,3,133,8,13,1,1,27:14
5661,2021,14,ATL,Sun,December 12,boxscore,W,,@,Carolina Panthers,29,21,19,28,190,1,0,0,0,6.8,6.8,67.9,98.8,36,128,3.6,1,3,3,2,2,2,110,7,14,2,2,34:37,14,Sun,December 12,boxscore,W,,@,Carolina Panthers,29,21,21,35,243,1,2,1,10,7.2,6.8,60.0,66.7,26,91,3.5,2,0,0,3,3,2,87,4,11,1,3,25:23
5662,2021,15,ATL,Sun,December 19,boxscore,L,,@,San Francisco 49ers,13,31,19,32,213,1,0,3,23,7.4,6.1,59.4,89.7,23,62,2.7,0,2,2,1,1,2,99,5,13,0,3,29:33,15,Sun,December 19,boxscore,L,,@,San Francisco 49ers,13,31,18,24,235,1,0,0,0,9.8,9.8,75.0,119.3,32,162,5.1,3,1,1,4,4,4,196,6,11,0,0,30:27
5663,2021,16,ATL,Sun,December 26,boxscore,W,,,Detroit Lions,20,16,18,24,207,1,0,3,8,9.0,7.7,75.0,114.4,18,47,2.6,1,2,2,2,2,2,115,2,8,1,1,21:55,16,Sun,December 26,boxscore,W,,,Detroit Lions,20,16,25,35,208,1,1,0,0,5.9,5.9,71.4,84.0,33,130,3.9,0,3,3,1,1,2,109,7,16,3,4,38:05
5664,2021,17,ATL,Sun,January 2,boxscore,L,,@,Buffalo Bills,15,29,13,23,169,0,0,5,28,8.6,6.0,56.5,79.8,22,96,4.4,1,2,2,1,1,4,159,1,7,0,1,23:53,17,Sun,January 2,boxscore,L,,@,Buffalo Bills,15,29,11,26,118,0,3,1,2,4.6,4.4,42.3,16.7,44,233,5.3,4,0,0,3,3,0,0,7,12,1,1,36:07
5665,2021,18,ATL,Sun,January 9,boxscore,L,,,New Orleans Saints,20,30,20,33,195,1,1,3,21,6.5,5.4,60.6,74.7,12,62,5.2,1,2,2,2,2,2,93,3,10,2,3,20:43,18,Sun,January 9,boxscore,L,,,New Orleans Saints,20,30,16,24,174,3,0,1,4,7.4,7.0,66.7,127.4,46,195,4.2,0,3,4,3,3,2,100,8,16,0,1,39:17
6193,2022,1,ATL,Sun,September 11,boxscore,L,,,New Orleans Saints,26,27,20,33,215,0,0,0,0,6.5,6.5,60.6,79.7,38,201,5.3,2,4,5,2,2,4,180,5,13,0,0,33:44,1,Sun,September 11,boxscore,L,,,New Orleans Saints,26,27,23,34,234,2,0,4,35,7.9,6.2,67.6,106.7,19,151,7.9,1,2,3,1,1,5,272,4,13,0,0,26:16
6194,2022,2,ATL,Sun,September 18,boxscore,L,,@,Los Angeles Rams,27,31,17,26,171,2,2,3,25,7.5,5.9,65.4,77.6,27,90,3.3,0,1,2,2,2,1,44,3,10,1,2,29:36,2,Sun,September 18,boxscore,L,,@,Los Angeles Rams,27,31,27,36,272,3,2,1,0,7.6,7.4,75.0,100.7,26,65,2.5,1,1,1,4,4,0,0,6,10,0,1,30:24
6195,2022,3,ATL,Sun,September 25,boxscore,W,,@,Seattle Seahawks,27,23,13,20,207,1,1,3,22,11.5,9.0,65.0,95.2,31,179,5.8,2,2,2,3,3,1,73,4,7,0,0,28:14,3,Sun,September 25,boxscore,W,,@,Seattle Seahawks,27,23,32,44,308,2,1,2,17,7.4,6.7,72.7,97.5,23,112,4.9,0,3,3,2,2,2,102,9,17,2,3,31:46
6196,2022,4,ATL,Sun,October 2,boxscore,W,,,Cleveland Browns,23,20,7,19,131,0,1,1,8,7.3,6.6,36.8,39.6,35,202,5.8,2,3,3,2,2,3,153,3,9,0,0,24:16,4,Sun,October 2,boxscore,W,,,Cleveland Browns,23,20,21,35,226,0,1,1,8,6.7,6.3,60.0,67.1,35,177,5.1,2,2,2,2,2,3,144,5,14,2,3,35:44
6197,2022,5,ATL,Sun,October 9,boxscore,L,,@,Tampa Bay Buccaneers,15,21,14,25,110,1,0,5,37,5.9,3.7,56.0,80.4,31,151,4.9,1,0,1,1,1,6,290,6,14,1,1,30:34,5,Sun,October 9,boxscore,L,,@,Tampa Bay Buccaneers,15,21,35,52,351,1,0,0,0,6.8,6.8,67.3,92.7,23,69,3.0,1,2,2,1,1,4,197,9,16,0,1,29:26
6198,2022,6,ATL,Sun,October 16,boxscore,W,,,San Francisco 49ers,28,14,13,14,121,2,0,2,8,9.2,7.6,92.9,142.3,40,168,4.2,1,0,0,4,4,5,215,9,14,0,0,33:25,6,Sun,October 16,boxscore,W,,,San Francisco 49ers,28,14,29,41,296,2,2,0,0,7.2,7.2,70.7,87.0,16,50,3.1,0,0,0,2,2,3,158,3,8,0,1,26:35
6199,2022,7,ATL,Sun,October 23,boxscore,L,,@,Cincinnati Bengals,17,35,8,13,107,1,0,3,17,9.5,6.7,61.5,113.3,29,107,3.7,1,1,1,2,2,6,282,4,10,0,0,26:55,7,Sun,October 23,boxscore,L,,@,Cincinnati Bengals,17,35,34,42,459,3,0,3,22,11.5,10.2,81.0,136.0,21,78,3.7,2,0,0,5,5,2,93,7,11,0,1,33:05
6200,2022,8,ATL,Sun,October 30,boxscore,W,OT,,Carolina Panthers,37,34,20,28,239,3,2,2,14,9.0,8.0,71.4,103.1,37,167,4.5,0,3,3,4,4,4,210,6,12,0,0,36:34,8,Sun,October 30,boxscore,W,OT,,Carolina Panthers,37,34,19,36,309,1,1,1,8,8.8,8.4,52.8,79.5,36,169,4.7,3,2,3,2,3,3,141,5,13,1,2,31:31
6201,2022,9,ATL,Sun,November 6,boxscore,L,,,Los Angeles Chargers,17,20,12,23,114,0,0,2,15,5.6,4.6,52.2,66.2,35,201,5.7,2,1,2,2,2,4,204,5,11,0,0,31:49,9,Sun,November 6,boxscore,L,,,Los Angeles Chargers,17,20,30,43,245,1,1,0,0,5.7,5.7,69.8,82.0,24,91,3.8,1,2,2,2,2,4,168,8,16,1,1,28:11
6202,2022,10,ATL,Thu,November 10,boxscore,L,,@,Carolina Panthers,15,25,19,30,153,2,1,5,33,6.2,4.4,63.3,84.4,25,138,5.5,0,1,1,0,2,5,174,3,11,0,2,25:48,10,Thu,November 10,boxscore,L,,@,Carolina Panthers,15,25,10,16,101,0,0,1,7,6.8,5.9,62.5,80.5,47,232,4.9,2,4,4,1,2,5,216,6,15,0,0,34:12
6203,2022,11,ATL,Sun,November 20,boxscore,W,,,Chicago Bears,27,24,13,20,131,1,0,0,0,6.6,6.6,65.0,100.2,33,149,4.5,1,2,2,3,3,3,139,2,9,1,1,24:50,11,Sun,November 20,boxscore,W,,,Chicago Bears,27,24,14,21,128,1,1,4,25,7.3,5.1,66.7,79.1,41,160,3.9,2,1,2,3,3,4,160,9,16,0,0,35:10
6204,2022,12,ATL,Sun,November 27,boxscore,L,,@,Washington Commanders,13,19,15,25,165,1,1,1,9,7.0,6.3,60.0,76.2,29,167,5.8,0,2,3,1,1,3,122,4,10,0,1,26:51,12,Sun,November 27,boxscore,L,,@,Washington Commanders,13,19,14,23,138,2,1,0,0,6.0,6.0,60.9,88.7,37,176,4.8,0,2,2,1,2,3,127,5,12,1,1,33:09
6205,2022,13,ATL,Sun,December 4,boxscore,L,,,Pittsburgh Steelers,16,19,13,24,160,1,1,1,7,7.0,6.4,54.2,71.5,28,146,5.2,0,3,3,1,1,3,137,3,10,1,1,27:05,13,Sun,December 4,boxscore,L,,,Pittsburgh Steelers,16,19,16,28,197,1,0,0,0,7.0,7.0,57.1,90.9,37,154,4.2,0,4,4,1,1,2,85,6,12,0,0,32:55
6206,2022,15,ATL,Sun,December 18,boxscore,L,,@,New Orleans Saints,18,21,13,26,89,0,0,4,8,3.7,3.0,50.0,58.0,39,231,5.9,2,1,1,1,1,5,208,9,16,0,1,30:56,15,Sun,December 18,boxscore,L,,@,New Orleans Saints,18,21,13,19,214,3,0,2,17,12.2,10.2,68.4,145.6,34,134,3.9,0,0,0,3,3,4,181,5,11,0,1,29:04
6207,2022,16,ATL,Sat,December 24,boxscore,L,,@,Baltimore Ravens,9,17,22,33,212,0,0,2,6,6.6,6.1,66.7,84.4,33,115,3.5,0,3,3,0,0,3,112,5,14,1,4,32:44,16,Sat,December 24,boxscore,L,,@,Baltimore Ravens,9,17,9,17,115,1,0,0,0,6.8,6.8,52.9,94.0,34,184,5.4,0,3,4,0,0,3,115,4,12,0,0,27:16
6208,2022,17,ATL,Sun,January 1,boxscore,W,,,Arizona Cardinals,20,19,19,26,166,0,0,1,3,6.5,6.1,73.1,89.6,34,132,3.9,2,2,2,2,2,3,148,5,11,1,2,32:24,17,Sun,January 1,boxscore,W,,,Arizona Cardinals,20,19,24,40,213,1,0,2,9,5.6,5.1,60.0,82.6,27,126,4.7,0,4,5,1,1,2,34,4,11,0,1,27:36
